timestamp,gpu_index,name,temp_c,power_draw_w,power_limit_w,utilization_pct,mem_used_miB,mem_total_miB
2026-04-21T07:41:01Z,0,Quadro P6000,47,66.96 W,250.00 W,0 %,23261 MiB,24576 MiB
2026-04-21T07:41:01Z,1,Quadro P6000,42,65.01 W,250.00 W,0 %,22839 MiB,24576 MiB
2026-04-22T12:42:35Z,0,Quadro P6000,72,78.71,250.00,47,21837,24576
2026-04-22T12:42:35Z,1,Quadro P6000,58,134.41,250.00,47,22757,24576
